pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional
LH-1,LH-A,LH-Boleteria-L1-ZNP,2,1
LH-2,LH-B,LH-Boleteria-L1-ZNP,2,1
LH-3,LH-D,LH-Boleteria-L1-ZNP,2,1
LH-4,LH-E,LH-Boleteria-L1-ZNP,2,1
LH-5,LH-Boleteria-L1-ZNP,LH-Boleteria-L1-ZP,6,0
LH-6,LH-Boleteria-L1-ZP,LH-Boleteria-L1-ZNP,7,0
LH-7,LH-Boleteria-L1-ZP,LH-L1-V1,2,1
LH-8,LH-Boleteria-L1-ZP,LH-L1-V2,2,1
LH-9,LH-L1-V1,LH-L2-V1,2,1
LH-10,LH-L1-V1,LH-L2-V2,2,1
LH-11,LH-L1-V2,LH-L2-V1,2,1
LH-12,LH-L1-V2,LH-L2-V2,2,1
LH-13,LH-L2-V1,LH-Boleteria-L2-ZP,2,1
LH-14,LH-L2-V2,LH-Boleteria-L2-ZP,2,1
LH-15,LH-Boleteria-L2-ZP,LH-Boleteria-L2-ZNP,7,0
LH-16,LH-Boleteria-L2-ZNP,LH-C,2,1
UCH-1,UCH-A,UCH-Intermedio-1,2,1
UCH-2,UCH-C,UCH-Intermedio-1,2,1
UCH-3,UCH-D,UCH-Intermedio-1,2,1
UCH-4,UCH-E,UCH-Intermedio-1,2,1
UCH-5,UCH-Intermedio-1,UCH-Servicios-2-ZNP,2,1
UCH-6,UCH-B,UCH-Servicios-2-ZNP,4,0
UCH-7,UCH-Servicios-2-ZNP,UCH-B,4,0
UCH-8,UCH-Servicios-2-ZNP,UCH-Servicios-2-ZP,6,0
UCH-9,UCH-Servicios-2-ZP,UCH-Servicios-2-ZNP,7,0
UCH-10,UCH-Servicios-2-ZP,UCH-L1-V1,2,1
UCH-11,UCH-Servicios-2-ZP,UCH-L1-V2,2,1
UCH-12,UCH-L1-V1,UCH-Intermedio-3,4,0
UCH-13,UCH-Intermedio-3,UCH-L1-V1,4,0
UCH-14,UCH-L1-V2,UCH-Intermedio-3,4,0
UCH-15,UCH-Intermedio-3,UCH-L1-V2,4,0
