route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
101,RM,101,Recoleta - Cerrillos,,3,,AF2B1E,FFFFFF
102,RM,102,(M) Las Rejas - San Carlos Oriente,,3,,AF2B1E,FFFFFF
103,RM,103,Providencia - San Luis De Macul,,3,,AF2B1E,FFFFFF
104,RM,104,Providencia - Camilo Henriquez,,3,,AF2B1E,FFFFFF
105,RM,105,Renca - Lo Espejo,,3,,AF2B1E,FFFFFF
105c,RM,105c,Lo Valledor - Lo Espejo,,3,,AF2B1E,FFFFFF
106,RM,106,Nueva San Martin - Peñalolen,,3,,AF2B1E,FFFFFF
107,RM,107,Ciudad Empresarial - Av. Departamental,,3,,AF2B1E,FFFFFF
107c,RM,107c,Ciudad Empresarial - Plaza Renca,,3,,AF2B1E,FFFFFF
108,RM,108,Maipu - La Florida,,3,,AF2B1E,FFFFFF
109,RM,109,Renca - Maipu,,3,,00929E,FFFFFF
109N,RM,109N,Plaza Italia - Maipu,,3,,00929E,FFFFFF
110,RM,110,Renca - Maipu,,3,,AF2B1E,FFFFFF
110c,RM,110c,Lo Echevers - Pudahuel Sur,,3,,00929E,FFFFFF
111,RM,111,(M) Pajaritos - Ciudad Satelite,,3,,00A77E,FFFFFF
113,RM,113,Ciudad Satelite - (M) Los Heroes,,3,,00A77E,FFFFFF
113c,RM,113c,(M) Cerrillos - Ciudad Satelite,,3,,00A77E,FFFFFF
113e,RM,113e,Ciudad Satelite - (M) Los Heroes,,3,,00A77E,FFFFFF
114,RM,114,(M) Ñuñoa - Camilo Henriquez,,3,,AF2B1E,FFFFFF
115,RM,115,Villa El Abrazo -  (M) Los Heroes,,3,,00929E,FFFFFF
115c,RM,115c,Villa El Abrazo -  (M) Cerrillos,,3,,00929E,FFFFFF
116,RM,116,Huechuraba - Centro,,3,,AF2B1E,FFFFFF
117,RM,117,(M) Vespucio Norte - Departamental Oriente,,3,,AF2B1E,FFFFFF
117c,RM,117c,Huechuraba - Providencia,,3,,AF2B1E,FFFFFF
118,RM,118,Maipu - La Florida,,3,,00929E,FFFFFF
119,RM,119,Mapocho - Lo Espejo,,3,,00A77E,FFFFFF
120,RM,120,Renca - (M) La Cisterna,,3,,AF2B1E,FFFFFF
121,RM,121,Mapocho - Lo Espejo,,3,,00A77E,FFFFFF
124,RM,124,(M) Macul - Puente Alto,,3,,AF2B1E,FFFFFF
125,RM,125,(M) U. De Chile - Lo Espejo,,3,,00A77E,FFFFFF
126,RM,126,(M) Manuel Montt - La Higuera,,3,,00A77E,FFFFFF
201,RM,201,Mall Plaza Norte - San Bernardo,,3,,AF2B1E,FFFFFF
201e,RM,201e,(M) Santa Ana - San Bernardo,,3,,AF2B1E,FFFFFF
203,RM,203,Av. Recoleta - La Pintana,,3,,AF2B1E,FFFFFF
203c,RM,203c,La Pintana - La Granja,,3,,AF2B1E,FFFFFF
203e,RM,203e,Centro - La Pintana,,3,,AF2B1E,FFFFFF
203N,RM,203N,Huechuraba - La Pintana,,3,,AF2B1E,FFFFFF
204,RM,204,Alameda - Pie Andino,,3,,AF2B1E,FFFFFF
204N,RM,204N,Alameda - Pie Andino,,3,,AF2B1E,FFFFFF
205,RM,205,Santiago - Puente Alto,,3,,AF2B1E,FFFFFF
206,RM,206,Centro - La Pintana,,3,,AF2B1E,FFFFFF
206c,RM,206c,(M) Bio Bio - La Pintana,,3,,AF2B1E,FFFFFF
207,RM,207,Mapocho - Av. Santa Rosa,,3,,AF2B1E,FFFFFF
207c,RM,207c,El Retiro - (M) Santa Rosa,,3,,AF2B1E,FFFFFF
207e,RM,207e,Mapocho - Av. Santa Rosa,,3,,AF2B1E,FFFFFF
208,RM,208,Huechuraba - Centro,,3,,AF2B1E,FFFFFF
208c,RM,208c,Huechuraba - (M) Zapadores,,3,,AF2B1E,FFFFFF
209,RM,209,Alameda - El Volcan,,3,,AF2B1E,FFFFFF
209c,RM,209c,El Volcan - (M) Santa Rosa,,3,,AF2B1E,FFFFFF
210,RM,210,Estacion Central - Puente Alto,,3,,AF2B1E,FFFFFF
210e,RM,210e,Estacion Central - Puente Alto,,3,,AF2B1E,FFFFFF
210v,RM,210v,Estacion Central - Av. Mexico,,3,,AF2B1E,FFFFFF
211,RM,211,La Florida - Nos,,3,,0951BC,FFFFFF
211c,RM,211c,(M) La Cisterna - San Bernardo,,3,,F58220,000000
212,RM,212,Mall Costanera Center - La Pintana,,3,,AF2B1E,FFFFFF
213e,RM,213e,Plaza Italia - Puente Alto,,3,,AF2B1E,FFFFFF
214,RM,214,Santa Olga - Los Libertadores,,3,,AF2B1E,FFFFFF
216,RM,216,Pablo De Rokha - Vitacura,,3,,AF2B1E,FFFFFF
217e,RM,217e,Maestranza - (M) Santa Ana,,3,,0951BC,FFFFFF
219e,RM,219e,(M) La Cisterna - Ciudad Empresarial,,3,,AF2B1E,FFFFFF
223,RM,223,Santiago - Lo Espejo,,3,,F58220,000000
224,RM,224,Ñuñoa - Gabriela,,3,,AF2B1E,FFFFFF
225,RM,225,Las Condes - Villa Los Aromos,,3,,AF2B1E,FFFFFF
225c,RM,225c,Villa Los Aromos - (M) Vicente Valdes,,3,,AF2B1E,FFFFFF
226,RM,226,Centro - Nonato Coo,,3,,AF2B1E,FFFFFF
227,RM,227,La Reina - Av. Lo Ovalle,,3,,AF2B1E,FFFFFF
228,RM,228,(M) La Cisterna - Estacion San Bernardo,,3,,F58220,000000
229,RM,229,(M) La Moneda - La Pintana,,3,,AF2B1E,FFFFFF
230,RM,230,Los Libertadores - Centro,,3,,AF2B1E,FFFFFF
233,RM,233,El Castillo - (M) Bellavista De La Florida,,3,,F58220,000000
234,RM,234,Alameda - Ejercito Libertador,,3,,AF2B1E,FFFFFF
244,RM,244,La Foresta - Hospital Eloisa Diaz,,3,,AF2B1E,FFFFFF
245,RM,245,Puente Alto - (M) Santa Rosa,,3,,AF2B1E,FFFFFF
262N,RM,262N,(M) Macul - Villa España,,3,,F58220,000000
264N,RM,264N,Pedro Fontova - Santo Tomas,,3,,AF2B1E,FFFFFF
