stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,wheelchair_boarding,location_type,parent_station
PD1641,,PD1641-Parada 7 / (M) Macul,-33.509178000238954,-70.58957699978993,,0,,
PE158,,PE158-Parada / Colegio José A. Lecaros,-33.514682020539134,-70.59252538029007,,0,,
PE159,,PE159-Parada / Fiscalía La Florida,-33.516556117638,-70.59418788413873,,0,,
PE160,,PE160-Parada 3 / (M) Bellavista de La Florida,-33.52141399981303,-70.5977029995334,,0,,
PE161,,PE161-Av. Américo Vespucio / esq. Pilcomayo,-33.52494600021801,-70.60174200014038,,0,,
PE162,,PE162-Av. Américo Vespucio / esq. G. de Alderete,-33.52783900044671,-70.60370299955544,,0,,
PE163,,PE163-Parada / (M) Santa Julia,-33.530754999928035,-70.6056049999059,,0,,
PE164,,PE164-Av. Américo Vespucio / esq. Luis de Valdivia,-33.53363700037144,-70.60749500038058,,0,,
PE165,,PE165-Punta Arenas / esq. Av. San Gregorio,-33.537053834656575,-70.61022788595227,,0,,
PE166,,PE166-Av. Américo Vespucio / esq. 7 Oriente,-33.53974744949736,-70.6117128601071,,0,,
PE167,,PE167-Parada 2 / (M) La Granja,-33.54085299994014,-70.61572300003557,,0,,
PE168,,PE168-Av. Américo Vespucio / esq. La Serena,-33.54137999964243,-70.61927699995141,,0,,
PE169,,PE169-Av. Américo Vespucio / esq. El Tabo,-33.54190300023249,-70.6230589994839,,0,,
PE170,,PE170-Av. Américo Vespucio / esq. Laguna Blanca,-33.54211099963522,-70.62462799949208,,0,,
PE171,,PE171-Av. Américo Vespucio / esq. Av. Santa Rosa,-33.54268599964463,-70.6291319995417,,0,,
PE172,,PE172-Parada 1 / (M) Santa Rosa,-33.54223163788592,-70.63316495579697,,0,,
PG197,,PG197-Av. Américo Vespucio / esq. Independencia,-33.5416869999432,-70.63807099989286,,0,,
PG198,,PG198-Parada 2 / (M) San Ramón,-33.541025621689975,-70.64278486033214,,0,,
PG199,,PG199-Av. Américo Vespucio / esq. Aníbal Zañartu,-33.5404920001973,-70.64653599995697,,0,,
PG200,,PG200-Av. Américo Vespucio / esq. La Granja,-33.539856146397426,-70.650830888757,,0,,
PG201,,PG201-Av. Américo Vespucio / esq. Blas Vial,-33.539077000040834,-70.65500899985784,,0,,
PG202,,PG202-Av. Américo Vespucio / esq. Uno Oriente,-33.538233000073056,-70.65986899954764,,0,,
PG203,,PG203-Parada 3 / (M) La Cisterna,-33.53738743877578,-70.6631469703818,,0,,
PG204,,PG204-Parada 6 / (M) La Cisterna,-33.539744026481664,-70.66499805237363,,0,,
PG9,,PG9-Parada 1 / Paradero 27 Gran Avenida,-33.54264799991496,-70.66604899987205,,0,,
PG10,,PG10-Parada 1 / Paradero 28 Gran Avenida,-33.5461459995833,-70.66884200041639,,0,,
PG11,,PG11-Parada / Paradero 29 Gran Avenida,-33.54886897602174,-70.6710056158647,,0,,
PG12,,PG12-Parada 1 / Paradero 3 - Gran Avenida,-33.55079500013101,-70.67251300024833,,0,,
PG13,,PG13-Parada 1 / Paradero 31 Gran Avenida,-33.553899074493714,-70.67496221118469,,0,,
PG14,,PG14-Parada / Paradero 32 Gran Avenida,-33.556044000393285,-70.67662899953726,,0,,
PG15,,PG15-Gran Avenida / esq. Lo Espina,-33.55825241786634,-70.67835974674139,,0,,
