route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,bikes_allowed
101,L,101-R-L-B11,Recoleta,1,101R,,
101,L,101-I-L-B10,Cerrillos,0,101I,,
101,L,101-I-L-B09,Cerrillos,0,101I,,
101,L,101-I-L-B08,Cerrillos,0,101I,,
101,L,101-I-L-B07,Cerrillos,0,101I,,
101,L,101-I-L-B06,Cerrillos,0,101I,,
101,L,101-I-L-B05,Cerrillos,0,101I,,
101,L,101-I-L-B04,Cerrillos,0,101I,,
101,L,101-I-L-B03,Cerrillos,0,101I,,
101,L,101-I-L-B02,Cerrillos,0,101I,,
101,D,101-R-D-B28,Recoleta,1,101R,,
101,D,101-R-D-B27,Recoleta,1,101R,,
101,D,101-R-D-B26,Recoleta,1,101R,,
101,D,101-R-D-B25,Recoleta,1,101R,,
101,D,101-R-D-B24,Recoleta,1,101R,,
101,D,101-R-D-B23,Recoleta,1,101R,,
101,S,101-R-S-B20,Recoleta,1,101R,,
101,S,101-R-S-B19,Recoleta,1,101R,,
101,S,101-R-S-B18,Recoleta,1,101R,,
101,S,101-R-S-B17,Recoleta,1,101R,,
101,S,101-R-S-B16,Recoleta,1,101R,,
101,S,101-R-S-B15,Recoleta,1,101R,,
101,S,101-R-S-B14,Recoleta,1,101R,,
101,L,101-R-L-B04,Recoleta,1,101R,,
101,L,101-R-L-B10,Recoleta,1,101R,,
101,L,101-R-L-B09,Recoleta,1,101R,,
101,L,101-R-L-B08,Recoleta,1,101R,,
101,L,101-R-L-B07,Recoleta,1,101R,,
101,L,101-I-L-B11,Cerrillos,0,101I,,
101,L,101-R-L-B06,Recoleta,1,101R,,
101,S,101-I-S-B14,Cerrillos,0,101I,,
101,S,101-I-S-B16,Cerrillos,0,101I,,
101,S,101-I-S-B15,Cerrillos,0,101I,,
101,L,101-R-L-B01,Recoleta,1,101R,,
101,L,101-R-L-B02,Recoleta,1,101R,,
101,L,101-R-L-B03,Recoleta,1,101R,,
101,D,101-I-D-B28,Cerrillos,0,101I,,
101,D,101-I-D-B27,Cerrillos,0,101I,,
101,D,101-I-D-B26,Cerrillos,0,101I,,
101,L,101-R-L-B05,Recoleta,1,101R,,
101,D,101-I-D-B24,Cerrillos,0,101I,,
101,D,101-I-D-B23,Cerrillos,0,101I,,
101,S,101-I-S-B20,Cerrillos,0,101I,,
101,S,101-I-S-B19,Cerrillos,0,101I,,
101,S,101-I-S-B18,Cerrillos,0,101I,,
101,S,101-I-S-B17,Cerrillos,0,101I,,
101,D,101-I-D-B25,Cerrillos,0,101I,,
102,D,102-I-D-B28,San Carlos Oriente,0,102I,,
102,D,102-I-D-B27,San Carlos Oriente,0,102I,,
102,D,102-I-D-B26,San Carlos Oriente,0,102I,,
102,D,102-I-D-B25,San Carlos Oriente,0,102I,,
102,D,102-I-D-B24,San Carlos Oriente,0,102I,,
102,D,102-I-D-B23,San Carlos Oriente,0,102I,,
102,S,102-I-S-B19,San Carlos Oriente,0,102I,,
102,S,102-I-S-B20,San Carlos Oriente,0,102I,,
102,L,102-I-L-B11,San Carlos Oriente,0,102I,,
102,S,102-I-S-B18,San Carlos Oriente,0,102I,,
102,L,102-R-L-B03,(M) Las Rejas,1,102R,,
102,L,102-R-L-B02,(M) Las Rejas,1,102R,,
102,D,102-I-D-B21,San Carlos Oriente,0,102I,,
102,L,102-R-L-B00,(M) Las Rejas,1,102R,,
102,S,102-R-S-B17,(M) Las Rejas,1,102R,,
102,L,102-I-L-B00,San Carlos Oriente,0,102I,,
102,S,102-R-S-B15,(M) Las Rejas,1,102R,,
102,S,102-I-S-B17,San Carlos Oriente,0,102I,,
102,S,102-I-S-B16,San Carlos Oriente,0,102I,,
102,S,102-I-S-B15,San Carlos Oriente,0,102I,,
102,S,102-I-S-B14,San Carlos Oriente,0,102I,,
102,S,102-I-S-B13,San Carlos Oriente,0,102I,,
102,S,102-I-S-B12,San Carlos Oriente,0,102I,,
102,D,102-R-D-B28,(M) Las Rejas,1,102R,,
102,D,102-R-D-B27,(M) Las Rejas,1,102R,,
102,D,102-R-D-B26,(M) Las Rejas,1,102R,,
102,D,102-R-D-B25,(M) Las Rejas,1,102R,,
102,D,102-R-D-B24,(M) Las Rejas,1,102R,,
102,D,102-R-D-B23,(M) Las Rejas,1,102R,,
102,D,102-R-D-B21,(M) Las Rejas,1,102R,,
102,S,102-R-S-B20,(M) Las Rejas,1,102R,,
102,S,102-R-S-B19,(M) Las Rejas,1,102R,,
102,S,102-R-S-B18,(M) Las Rejas,1,102R,,
102,S,102-R-S-B14,(M) Las Rejas,1,102R,,
102,S,102-R-S-B13,(M) Las Rejas,1,102R,,
102,S,102-R-S-B16,(M) Las Rejas,1,102R,,
102,L,102-R-L-B11,(M) Las Rejas,1,102R,,
102,L,102-R-L-B04,(M) Las Rejas,1,102R,,
102,L,102-R-L-B05,(M) Las Rejas,1,102R,,
102,L,102-I-L-B02,San Carlos Oriente,0,102I,,
102,L,102-I-L-B03,San Carlos Oriente,0,102I,,
102,S,102-R-S-B12,(M) Las Rejas,1,102R,,
102,L,102-I-L-B05,San Carlos Oriente,0,102I,,
102,L,102-I-L-B06,San Carlos Oriente,0,102I,,
102,L,102-I-L-B07,San Carlos Oriente,0,102I,,
102,L,102-I-L-B04,San Carlos Oriente,0,102I,,
102,L,102-I-L-B09,San Carlos Oriente,0,102I,,
102,L,102-I-L-B08,San Carlos Oriente,0,102I,,
102,L,102-R-L-B09,(M) Las Rejas,1,102R,,
102,L,102-R-L-B08,(M) Las Rejas,1,102R,,
102,L,102-R-L-B10,(M) Las Rejas,1,102R,,
102,L,102-R-L-B06,(M) Las Rejas,1,102R,,
102,L,102-I-L-B10,San Carlos Oriente,0,102I,,
102,L,102-R-L-B07,(M) Las Rejas,1,102R,,
103,S,103-R-S-B17,Providencia,1,103R,,
103,D,103-I-D-B22,San Luis De Macul,0,103I,,
103,D,103-I-D-B28,San Luis De Macul,0,103I,,
103,D,103-I-D-B27,San Luis De Macul,0,103I,,
103,D,103-I-D-B26,San Luis De Macul,0,103I,,
103,D,103-I-D-B25,San Luis De Macul,0,103I,,
103,D,103-I-D-B24,San Luis De Macul,0,103I,,
103,D,103-I-D-B23,San Luis De Macul,0,103I,,
103,D,103-I-D-B21,San Luis De Macul,0,103I,,
103,S,103-R-S-B18,Providencia,1,103R,,
103,S,103-I-S-B19,San Luis De Macul,0,103I,,
103,D,103-R-D-B21,Providencia,1,103R,,
103,S,103-R-S-B20,Providencia,1,103R,,
103,S,103-R-S-B19,Providencia,1,103R,,
103,L,103-R-L-B00,Providencia,1,103R,,
103,L,103-R-L-B01,Providencia,1,103R,,
103,L,103-R-L-B02,Providencia,1,103R,,
103,L,103-R-L-B03,Providencia,1,103R,,
103,L,103-R-L-B04,Providencia,1,103R,,
103,L,103-R-L-B05,Providencia,1,103R,,
103,D,103-R-D-B22,Providencia,1,103R,,
103,L,103-R-L-B06,Providencia,1,103R,,
103,S,103-I-S-B20,San Luis De Macul,0,103I,,
103,L,103-R-L-B09,Providencia,1,103R,,
103,L,103-R-L-B10,Providencia,1,103R,,
103,L,103-R-L-B11,Providencia,1,103R,,
103,S,103-R-S-B12,Providencia,1,103R,,
103,S,103-R-S-B13,Providencia,1,103R,,
103,S,103-R-S-B14,Providencia,1,103R,,
103,S,103-R-S-B15,Providencia,1,103R,,
103,S,103-R-S-B16,Providencia,1,103R,,
103,L,103-R-L-B07,Providencia,1,103R,,
103,D,103-R-D-B23,Providencia,1,103R,,
103,L,103-R-L-B08,Providencia,1,103R,,
103,D,103-R-D-B25,Providencia,1,103R,,
103,D,103-R-D-B24,Providencia,1,103R,,
103,S,103-I-S-B18,San Luis De Macul,0,103I,,
103,S,103-I-S-B17,San Luis De Macul,0,103I,,
103,S,103-I-S-B16,San Luis De Macul,0,103I,,
103,S,103-I-S-B15,San Luis De Macul,0,103I,,
103,S,103-I-S-B14,San Luis De Macul,0,103I,,
103,S,103-I-S-B13,San Luis De Macul,0,103I,,
103,S,103-I-S-B12,San Luis De Macul,0,103I,,
