X,Y,FID,objectid,id,especial,estacion,nombre,temporal,f1,tipo,linea
-7872880.46633236,-3954412.20735521,1,1,1,EXISTENTE INTERMODAL,EXISTENTE,SAN PABLO,INTERMODAL,1,ESTACION METRO,Linea 1
-7872796.96826081,-3955445.23477656,2,2,2,EXISTENTE,EXISTENTE,NEPTUNO,,1,ESTACION METRO,Linea 1
-7871780.01446286,-3956231.61257904,3,3,3,EXISTENTE INTERMODAL,EXISTENTE,PAJARITOS,INTERMODAL,1,ESTACION METRO,Linea 1
-7871008.74691148,-3956153.13897488,4,4,4,EXISTENTE,EXISTENTE,LAS REJAS,,1,ESTACION METRO,Linea 1
-7868069.78774778,-3953899.19874489,5,5,5,CONSTRUCCION INTERMODAL,CONSTRUCCION,QUINTA NORMAL,INTERMODAL,1,ESTACION METRO,Linea 5
-7865797.9068326,-3953636.61575053,6,6,6,EXISTENTE,EXISTENTE,SANTA ANA,,1,ESTACION METRO,Linea 5
-7866335.61640202,-3953690.43805978,7,7,7,EXSTENTE,EXSTENTE,RICARDO CUMMING,,1,ESTACION METRO,Linea 5
-7870405.33415559,-3956013.19498812,8,8,8,EXISTENTE,EXISTENTE,ECUADOR,,1,ESTACION METRO,Linea 1
-7869429.87012415,-3955755.22550335,9,9,9,EXISTENTE,EXISTENTE,PILA DEL GANSO,,1,ESTACION METRO,Linea 1
-7868760.29613301,-3955534.85223405,10,10,10,EXISTENTE,EXISTENTE,UNIVERSIDAD DE SANTIAGO,,1,ESTACION METRO,Linea 1
-7868057.73840082,-3955306.72724089,11,11,11,EXISTENTE,EXISTENTE,ESTACION CENTRAL,,1,ESTACION METRO,Linea 1
-7865884.72851647,-3954691.28609736,12,12,12,EXISTENTE,EXISTENTE,LOS HEROES,,1,ESTACION METRO,Linea 1
-7866307.7542244,-3954773.27093873,13,13,13,EXISTENTE,EXISTENTE,REPUBLICA,,1,ESTACION METRO,Linea 1
-7867434.42542187,-3955140.93977482,14,14,14,EXISTENTE,EXISTENTE,UNION LATINOAMERICANA,,1,ESTACION METRO,Linea 1
-7864806.39906413,-3953531.26446661,15,15,15,CONSTRUCCION INTERMODAL,EXISTENTE,PLAZA DE ARMAS,INTERMODAL,1,ESTACION METRO,Linea 5
-7863973.30527797,-3953359.53757947,16,16,16,EXISTENTE,EXISTENTE,BELLAS ARTES,,1,ESTACION METRO,Linea 5
-7862861.68342831,-3953494.37179499,17,17,17,EXISTENTE,EXISTENTE,BAQUEDANO,,1,ESTACION METRO,Linea 1
-7865365.5655213,-3954553.03585283,18,18,18,EXISTENTE,EXISTENTE,MONEDA,,1,ESTACION METRO,Linea 1
-7864913.72298096,-3954426.35502147,19,19,19,CONSTRUCCION INTERMODAL,EXISTENTE,UNIVERSIDAD DE CHILE,INTERMODAL,1,ESTACION METRO,Linea 1
-7864327.82903938,-3954251.53685811,20,20,20,EXISTENTE,EXISTENTE,SANTA LUCIA,,1,ESTACION METRO,Linea 1
-7863723.44868136,-3953959.85310666,21,21,21,EXISTENTE,EXISTENTE,UNIVERSIDAD CATOLICA,,1,ESTACION METRO,Linea 1
-7865081.89193225,-3952929.37000306,22,22,22,EXISTENTE INTERMODAL,EXISTENTE,CAL Y CANTO,INTERMODAL,1,ESTACION METRO,Linea 2
-7865651.68614883,-3955675.09521993,23,23,23,EXISTENTE,EXISTENTE,TOESCA,,1,ESTACION METRO,Linea 2
-7865437.45643952,-3956579.73446973,24,24,24,EXISTENTE,EXISTENTE,PARQUE O'HIGGINS,,1,ESTACION METRO,Linea 2
-7864632.16231373,-3958720.58125342,25,25,25,CONSTRUCCION INTERMODAL,EXISTENTE,FRANKLIN,INTERMODAL,1,ESTACION METRO,Linea 2
-7864691.31420523,-3959453.43444662,26,26,26,EXISTENTE,EXISTENTE,EL LLANO,,1,ESTACION METRO,Linea 2
-7864810.52150922,-3960380.99506716,27,27,27,EXISTENTE,EXISTENTE,SAN MIGUEL,,1,ESTACION METRO,Linea 2
-7865036.73855223,-3961392.76151068,28,28,28,EXISTENTE,EXISTENTE,LO VIAL,,1,ESTACION METRO,Linea 2
-7865273.70021403,-3962318.58504072,29,29,29,EXISTENTE,EXISTENTE,DEPARTAMENTAL,,1,ESTACION METRO,Linea 2
-7865509.95271396,-3963421.37092196,30,30,30,EXISTENTE,EXISTENTE,CIUDAD DEL NINO,,1,ESTACION METRO,Linea 2
-7865733.36943298,-3964261.49493172,31,31,31,EXISTENTE,EXISTENTE,LO OVALLE,,1,ESTACION METRO,Linea 2
-7865975.87024085,-3965417.7047949,32,32,32,EXISTENTE,EXISTENTE,EL PARRON,,0,ESTACION METRO,Linea 2
-7866302.23765708,-3966876.19839294,33,33,33,EXISTENTE,EXISTENTE,LA CISTERNA,,0,ESTACION METRO,Linea 2
-7862740.30219632,-3954037.28625526,34,34,34,EXISTENTE,EXISTENTE,PARQUE BUSTAMANTE,,1,ESTACION METRO,Linea 5
-7862525.01420299,-3954807.45757813,35,35,35,EXISTENTE,EXISTENTE,SANTA ISABEL,,1,ESTACION METRO,Linea 5
-7862388.84533738,-3955514.38593105,36,36,36,CONSTRUCCION INTERMODAL,EXISTENTE,IRARRAZAVAL,INTERMODAL,1,ESTACION METRO,Linea 5
-7861929.33208428,-3957478.45873245,37,37,37,CONSTRUCCION INTERMODAL,EXISTENTE,NUBLE,INTERMODAL,1,ESTACION METRO,Linea 5
-7861657.52784201,-3958748.7861242,38,38,38,EXISTENTE,EXISTENTE,RODRIGO DE ARAYA,,1,ESTACION METRO,Linea 5
-7861289.5738865,-3960031.748385,39,39,39,EXISTENTE,EXISTENTE,CARLOS VALDOVINO,,1,ESTACION METRO,Linea 5
-7860982.64624003,-3961346.95018026,40,40,40,EXISTENTE,EXISTENTE,SAN JOAQUIN,,1,ESTACION METRO,Linea 5
-7860623.57742677,-3962924.62214799,41,41,41,EXISTENTE,EXISTENTE,PEDRERO,,1,ESTACION METRO,Linea 5
-7859838.52387941,-3963610.37932878,42,42,42,EXISTENTE,EXISTENTE,MIRADOR,,1,ESTACION METRO,Linea 5
-7859013.33776133,-3964621.29499967,43,43,43,EXISTENTE,EXISTENTE,BELLAVISTA,,1,ESTACION METRO,Linea 5
-7860149.59439664,-3951537.38511871,44,44,44,EXISTENTE,EXISTENTE,LOS LEONES,,1,ESTACION METRO,Linea 1
